Date,Open,High,Low,Close,Volume
2019-01-02,53.15,55.15,52.9,55,187429
2019-01-03,55,55,53.3,53.4,219807
2019-01-04,53.9,55,53.9,54.75,127074
2019-01-07,55.05,56.2,54.8,56.2,187654
2019-01-08,55.65,56.2,54.9,55.95,168800
2019-01-09,56.4,56.4,55.85,56.35,192929
2019-01-10,55.5,55.55,54.35,55,294469
2019-01-11,55.75,56.15,54.6,55.6,264094
2019-01-14,55.1,55.95,54.75,55,84930
2019-01-15,55.5,55.8,54.2,54.6,455044
2019-01-16,54.5,55.9,54.5,55.85,192213
2019-01-17,55.9,56,54.55,54.7,324545
2019-01-18,55.4,55.6,53.95,54.2,354093
2019-01-21,54.4,54.4,53.25,53.8,208107
2019-01-22,53.9,54.35,53.65,53.95,206199
2019-01-23,54.15,54.8,53.75,54.4,197680
2019-01-24,54.7,55.6,54.45,55.5,283781
2019-01-25,55.55,57.75,55.55,57.5,704600
2019-01-28,57.6,59.7,56.65,58.25,655110
2019-01-29,58.3,58.8,57.55,57.55,261735
2019-01-30,57.8,57.8,56.55,56.85,228316
2019-01-31,57.95,58,57,57.5,281093
2019-02-01,58,58.9,57.6,58.55,253753
2019-02-04,58.55,58.75,57.65,58.5,198271
2019-02-05,59,60.7,58.15,60.5,295974
2019-02-06,60.6,62.45,60.15,60.5,339076
2019-02-07,60.5,60.9,59.75,60.35,151067
2019-02-08,59.8,60.15,58.9,59.5,367368
2019-02-11,59.3,60.3,58.4,58.55,157252
2019-02-12,59,59.5,58.85,59.25,137949
2019-02-13,59.6,59.7,57.85,58.2,189924
2019-02-14,58.2,58.5,57,57.7,202926
2019-02-15,57.75,58.7,57.25,57.45,161152
2019-02-18,57.85,58.1,57.2,57.75,159458
2019-02-19,57.85,59.35,57.35,59.35,156949
2019-02-20,59.5,60.2,58.8,59.75,196785
2019-02-21,59.8,60.35,58.9,59.3,268079
2019-02-22,59.75,60.3,59.2,59.5,167298
2019-02-25,59.85,60.2,58.6,59.15,115373
2019-02-26,59,59.2,58.4,59.05,105652
2019-02-27,59.4,59.4,58,58.1,132141
2019-02-28,59,59.55,58.1,58.7,284605
2019-03-01,59.5,60.8,58.9,60.05,268854
